timestamp,mode,delta_pred,Kp,Ki,Kd,adapter_mode,par_source,base_Kp,base_Ki,base_Kd
1765730143,auto,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730145,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730146,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730147,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730148,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730149,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730150,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730151,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730152,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730153,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730154,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730155,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730156,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730157,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730158,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730159,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730160,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730161,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730162,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730163,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730164,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730165,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730166,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730167,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730168,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730169,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730170,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730171,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730172,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730173,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730174,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730175,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730176,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730177,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
1765730178,ia,0.0000,1.2000,0.010000,0.3000,unknown,measured,1.2000,0.010000,0.3000
